sku,nombre,tipo,unidad_medida,moneda_costo,moneda_venta
AE211X708NP0001,BOTE AEROSOL 211X708 N SB/SB 2P,PT,PZA,MXN,MXN
AE211X604NP0001,BOTE AEROSOL 211X604 N SB/SB 2P,PT,PZA,MXN,MXN
AE202X509NP0001,BOTE AEROSOL 202X509 N SB/SB 2P,PT,PZA,MXN,MXN
AE211X804ND0001,BOTE AEROSOL 211X804 N DOMESTICO H24/DOR,PT,PZA,MXN,MXN
AE211X804ND0002,BOTE AEROSOL 211X804 N CITRONOX H24/DOR,PT,PZA,MXN,MXN
AE211X804ND0003,BOTE AEROSOL 211X804 N POD TOTAL H24/DOR,PT,PZA,MXN,MXN
AE211X804ND0004,BOTE AEROSOL 211X804 N POD FULMINANTE H24/DOR,PT,PZA,MXN,MXN
AE211X804ND0005,BOTE AEROSOL 211X804 N CASA Y JARD H24/DOR,PT,PZA,MXN,MXN
AE211X804ND0006,BOTE AEROSOL 211X804 N CASA Y JARD LAV H24/DOR,PT,PZA,MXN,MXN
AE211X804ND0007,BOTE AEROSOL 211X804 N MATA CUCA H24/DOR,PT,PZA,MXN,MXN
AE202X509NP0002,BOTE AEROSOL 202X509 N ENCENDEDORES/SB,PT,PZA,MXN,MXN
AE202X509ND0001,BOTE AEROSOL 202X509 N SB/DOR 2P,PT,PZA,MXN,MXN
AE202X314NP0001,BOTE AEROSOL 202X314 N SB/SB 2P,PT,PZA,MXN,MXN
AE202X314NP0002,BOTE AEROSOL 202X314 N LT-40/SB,PT,PZA,MXN,MXN
AE211X1200NP0001,BOTE AEROSOL 211X1200 N SB/SB 2P,PT,PZA,MXN,MXN
AE211X1200NP0002,BOTE AEROSOL 211X1200 N MAXIJUMBO/SB,PT,PZA,MXN,MXN
AE211X604NP0002,BOTE AEROSOL 211X604 N E-DUST PERFECT CHOICE/SB,PT,PZA,MXN,MXN
AE211X604NP0003,BOTE AEROSOL 211X604 N ESPUMA LIMP/SB,PT,PZA,MXN,MXN
AE211X604RP0001,BOTE AEROSOL 211X604 R SB/SB 2P,PT,PZA,MXN,MXN
AE211X604RP0002,BOTE AEROSOL 211X604 R ESTUFAS Y SOP/SB,PT,PZA,MXN,MXN
AE211X604RP0003,BOTE AEROSOL 211X604 R CARTUCHO GAS/SB,PT,PZA,MXN,MXN
AE211X708NP0002,BOTE AEROSOL 211X708 N CART PLOMER/SB,PT,PZA,MXN,MXN
AE211X708NP0003,BOTE AEROSOL 211X708 N CARUCHO GAS/SB,PT,PZA,MXN,MXN
AE211X708NP0004,BOTE AEROSOL 211X708 N ELEGATE/SB,PT,PZA,MXN,MXN
AE211X708NP0005,BOTE AEROSOL 211X708 N AIRE REMOVEDOR/SB,PT,PZA,MXN,MXN
AE211X708NP0006,BOTE AEROSOL 211X708 N GAS SOPLETES/SB,PT,PZA,MXN,MXN
AE211X708NP0007,BOTE AEROSOL 211X708 N OFFICE DEPOT/SB,PT,PZA,MXN,MXN
AE211X708NP0008,BOTE AEROSOL 211X708 N SB/SB 2Q,PT,PZA,MXN,MXN
AE211X708NP0009,BOTE AEROSOL 211X708 N TORNADO/SB,PT,PZA,MXN,MXN
AE211X708NP0010,BOTE AEROSOL 211X708 N SPRAY DUSTER/SB,PT,PZA,MXN,MXN
AL325FSP0001,BOTE ALCOHOLERO 32.5 BFS SB/SB,PT,PZA,MXN,MXN
AL325FSD0001,BOTE ALCOHOLERO 32.5 BFS SB/DOR,PT,PZA,MXN,MXN
AL325FSP0002,BOTE ALCOHOLERO 32.5 BFS FERROX/SB,PT,PZA,MXN,MXN
AL325FSP0003,BOTE ALCOHOLERO 32.5 BFS LOBO/SB,PT,PZA,MXN,MXN
AL325FSP0004,BOTE ALCOHOLERO 32.5 BFS BUFALO/SB,PT,PZA,MXN,MXN
AL325FSP0005,BOTE ALCOHOLERO 32.5 BFS TERMEX BCO/SB,PT,PZA,MXN,MXN
AL325FSP0006,BOTE ALCOHOLERO 32.5 BFS TERMEX GRIS/SB,PT,PZA,MXN,MXN
AL327FSP0001,BOTE ALCOHOLERO 32.7 BFS SB/SB,PT,PZA,MXN,MXN
AL327FSP0002,BOTE ALCOHOLERO 32.7 BFS IRIS/SB,PT,PZA,MXN,MXN
AL327FSP0003,BOTE ALCOHOLERO 32.7 BFS SOLDER/SB,PT,PZA,MXN,MXN
AL337FSP0001,BOTE ALCOHOLERO 33.7 BFS SB/SB,PT,PZA,MXN,MXN
AL337FSP0002,BOTE ALCOHOLERO 33.7 BFS NEPRO/SB,PT,PZA,MXN,MXN
AL337FSP0003,BOTE ALCOHOLERO 33.7 BFS REACTOR/SB,PT,PZA,MXN,MXN
AL337FSP0004,BOTE ALCOHOLERO 33.7 BFS BIANCHETI/SB,PT,PZA,MXN,MXN
AL337FSP0005,BOTE ALCOHOLERO 33.7 BFS DUSEL/SB,PT,PZA,MXN,MXN
AL337FSP0006,BOTE ALCOHOLERO 33.7 BFS KYSER AMARILLO/SB,PT,PZA,MXN,MXN
AL337FSP0007,BOTE ALCOHOLERO 33.7 BFS KYSER ROJO/SB,PT,PZA,MXN,MXN
AL337FSP0008,BOTE ALCOHOLERO 33.7 BFS KYSER AZUL/SB,PT,PZA,MXN,MXN
AL337FSP0009,BOTE ALCOHOLERO 33.7 BFS PIA/SB,PT,PZA,MXN,MXN
AL337FSP0010,BOTE ALCOHOLERO 33.7 BFS ASLAN/SB,PT,PZA,MXN,MXN
AL348FSP0001,BOTE ALCOHOLERO 34.8 BFS SB/SB,PT,PZA,MXN,MXN
AL348FSP0002,BOTE ALCOHOLERO 34.8 BFS SQ ACON 314/SB,PT,PZA,MXN,MXN
AL348FSP0003,BOTE ALCOHOLERO 34.8 BFS BOND PLUS/SB,PT,PZA,MXN,MXN
AL348FSP0004,BOTE ALCOHOLERO 34.8 BFS MDN/SB,PT,PZA,MXN,MXN
AL360FSP0001,BOTE ALCOHOLERO 36 BFS SB/SB,PT,PZA,MXN,MXN
AL360FSP0002,BOTE ALCOHOLERO 36 BFS PEGAFULL/SB,PT,PZA,MXN,MXN
PI404X414TPP0001,BOTE PINTURA 404X414 BTP SB/SB,PT,PZA,MXN,MXN
PI404X414TPD0001,BOTE PINTURA 404X414 BTP SB/DOR,PT,PZA,MXN,MXN
FS610X402X9070001,BOTE F-STYLE 610X402X907 SB/SB,PT,PZA,MXN,MXN
FS610X402X9070002,BOTE F-STYLE 610X402X907 SB/DOR,PT,PZA,MXN,MXN
FS610X402X10050001,BOTE F-STYLE 610X402X1005 SB/SB,PT,PZA,MXN,MXN
MP00001,ALAMBRE DE COBREØ 1.38 MM DESNUDO SUAVE,MP,KG,MXN,MXN
MP00002,ALAMBRE DE COBRE Ø 1.5 MM DESNUDO SUAVE,MP,KG,MXN,MXN
MP00003,FLEJE POLIESTER STRAPEX DE 1/2 X 0.25,MP,PZA,MXN,MXN
MP00004,GRAPA PUNTEADA PARA FLEJE DE 1/2,MP,PZA,MXN,MXN
MP00005,"PELICULA STRETCH 18""",MP,PZA,MXN,MXN
