sku,nombre,bodega_codigo,cantidad,lote,ubicacion
AE211X708NP0001,BOTE AEROSOL 211X708 N SB/SB 2P,Texcoco-01,1,LOTE-2026-215,PRODUCCION
AE211X604NP0001,BOTE AEROSOL 211X604 N SB/SB 2P,Texcoco-01,1,LOTE-2026-215,ALMACEN PT
AE202X509NP0001,BOTE AEROSOL 202X509 N SB/SB 2P,Texcoco-01,1,LOTE-2026-215,PRODUCCION
AE211X804ND0001,BOTE AEROSOL 211X804 N DOMESTICO H24/DOR,Texcoco-01,1,LOTE-2026-215,ALMACEN PT
AE211X804ND0002,BOTE AEROSOL 211X804 N CITRONOX H24/DOR,Texcoco-02,1,LOTE-2026-215,ALMACEN PT
AE211X804ND0003,BOTE AEROSOL 211X804 N POD TOTAL H24/DOR,Texcoco-02,1,LOTE-2026-215,ALMACEN PT
AE211X804ND0004,BOTE AEROSOL 211X804 N POD FULMINANTE H24/DOR,Texcoco-01,1,LOTE-2026-215,ALMACEN PT
AE211X804ND0005,BOTE AEROSOL 211X804 N CASA Y JARD H24/DOR,Texcoco-01,1,LOTE-2026-215,ALMACEN PT
AE211X804ND0006,BOTE AEROSOL 211X804 N CASA Y JARD LAV H24/DOR,Texcoco-02,1,LOTE-2026-215,ALMACEN PT
AE211X804ND0007,BOTE AEROSOL 211X804 N MATA CUCA H24/DOR,Texcoco-01,1,LOTE-2026-215,ALMACEN PT
AE202X509NP0002,BOTE AEROSOL 202X509 N ENCENDEDORES/SB,Texcoco-01,1,LOTE-2026-215,ALMACEN PT
AE202X509ND0001,BOTE AEROSOL 202X509 N SB/DOR 2P,Texcoco-01,1,LOTE-2026-215,ALMACEN PT
AE202X314NP0001,BOTE AEROSOL 202X314 N SB/SB 2P,Texcoco-01,1,LOTE-2026-215,ALMACEN PT
AE202X314NP0002,BOTE AEROSOL 202X314 N LT-40/SB,Texcoco-01,1,LOTE-2026-215,PRODUCCION
AE211X1200NP0001,BOTE AEROSOL 211X1200 N SB/SB 2P,Texcoco-01,1,LOTE-2026-215,ALMACEN PT
AE211X1200NP0002,BOTE AEROSOL 211X1200 N MAXIJUMBO/SB,Texcoco-01,1,LOTE-2026-215,ALMACEN PT
AE211X604NP0002,BOTE AEROSOL 211X604 N E-DUST PERFECT CHOICE/SB,Texcoco-01,1,LOTE-2026-215,ALMACEN PT
AE211X604NP0003,BOTE AEROSOL 211X604 N ESPUMA LIMP/SB,Texcoco-01,1,LOTE-2026-215,ALMACEN PT
AE211X604RP0001,BOTE AEROSOL 211X604 R SB/SB 2P,Texcoco-02,1,LOTE-2026-215,ALMACEN PT
AE211X604RP0002,BOTE AEROSOL 211X604 R ESTUFAS Y SOP/SB,Texcoco-01,1,LOTE-2026-215,ALMACEN PT
AE211X604RP0003,BOTE AEROSOL 211X604 R CARTUCHO GAS/SB,Texcoco-01,1,LOTE-2026-215,ALMACEN PT
AE211X708NP0002,BOTE AEROSOL 211X708 N CART PLOMER/SB,Texcoco-01,1,LOTE-2026-215,ALMACEN PT
